"",COMPANY / EST. NAME,ADDRESS,"POSTALCODE",,,
"",Arnold's Fried Chicken (S) Pte Ltd,21,HOUGANG STREET 51,01-49,HOUGANG GREEN SHOPPING MALL,5  3  8  7   1 9
"",Arnold's Fried Chicken (S) Pte Ltd,60,JURONG WEST CENTRAL 3,01-05,The Frontier CC,648346
"",Arnold's Fried Chicken (S) Pte Ltd,51,YISHUN CENTRAL 1,01-04,YISHUN 10 CINEMA CINEPLEX,7 68794
"",Arnold's Fried Chicken (S) Pte Ltd,810,GEYLANG ROAD,0  2-99/101,CITY PLAZA,4  0  9 286
"",Arnold's Fried Chicken (S) Pte Ltd,215,BEDOK NORTH STREET 1,01-83,-,460215
"",AROMA KAMPUNG PTE LTD,2,JOO CHIAT ROAD,03-1111,JOO CHIAT COMPLEX,4  2  0  0 02
"",ArtBites TRCC,5,WOODLANDS AVENUE 9,01-01,REPUBLIC POLYTECHNIC,7  3  8  9 62
"","ASAM TREE CAFE, BAKERY &RESTAURANT",712,ANG MO KIO AVENUE 6,01-4056,-,560712
"","Asam Tree Malay Cuisine (S5) @NTUC Foodfare KTPH",90,Yishun Central,01-12,Khoo Teck Puat Hospital,768828
"",ASAM TREE SNACK & NASI LEMAK,100,HOUGANG AVENUE 10,01-03,KANG KAR MALL,538767
"",ASIAN COUNTER @ CAROUSEL,25,SCOTTS ROAD,-,SCOTTSWALK,2  2  8  2 20
"","ASIAN DELIGHT (S4) @ FLAVOURSBY HESED&EMET",21,Tampines Ave 1,01-00,Temasek Polytechnic (Blk 23A),529757
"",ASIAN DELIGHTS @ AQUAMARINE,6,RAFFLES BOULEVARD,04,MARINA SQUARE,0  3  9  5 94
"",ASIAN FOOD CORNER @ AMC,2,STAMFORD ROAD,-,"FAIRMONT SINGAPORE &SWISSOTEL THE STAMFORD",178882
"","Australia Design Western Food(S2)@ Mr Teh Tarik Geylang Serai",1,GEYLANG SERAI,01-210,-,402001
"","Awal Western and Thai Steamboat(S1) @ Awal Makan Place",60,PASIR RIS DRIVE 3,01,ARANDA COUNTRY CLUB,5  1  9  4  97
"",Ayam Bakar Ojolali,304,ORCHARD ROAD,03-39,LUCKY PLAZA,2  3  8  863
"",Ayam Bakar Ojolali,304,ORCHARD ROAD,03-43,LUCKY PLAZA,2  3  8  863
"",AYAM PENYET,676,WOODLANDS DRIVE 71,02,"KAMPUNG ADMIRALTY HAWKERCENTRE",730676
"",AYAM PENYET,,110 Pasir Ris Central,01-02,-,519641
"","AYAM PENYET (S5) @ FORK ANDSPOON WOODLANDS MART",768,WOODLANDS AVENUE 6,01,WOODLANDS MART,7  3  0  7  68
"","Ayam Penyet (S6) @ Mr Teh TarikEating House",204,BEDOK NORTH STREET 1,01-435,-,460204
"",AYAM PENYET PRESIDENT,17,Petir Road,B2-57/58,-,678278
"",AYAM PENYET PRESIDENT,304,ORCHARD ROAD,0 3-36/37,LUCKY PLAZA,2  3  8  863
"",AYAM PENYET PRESIDENT,2,JURONG EAST CENTRAL 1,01-05,JCUBE,609731
"",AYAM PENYET PRESIDENT,1,Stadium Place,01-23,-,397628
"",AYAM PENYET PRESIDENT,23,Serangoon Central 1,B1-13/14,-,556083
"",AYAM PENYET PRESIDENT,2,TAMPINES CENTRAL 5,B1-20,CENTURY SQUARE,5  2  9  5  09
"",AYAM PENYET PRESIDENT,930,YISHUN AVENUE 2,B1-54,NORTHPOINT,7  6  9  0 98
"",AYAM PENYET UNCLE PENYET,728,ANG MO KIO AVENUE 6,01-4200,-,560728
"",BABALICIOUS,1000,EAST COAST PARKWAY,01-02,MARINE COVE,4  4  9  876
"",Bagus,321,JOO CHIAT PLACE,01-10,PARKWAY EAST HOSPITAL,4  2  7 990
"",Bagus,276 / 278,CHANGI ROAD,-,-,419756
"","BAGUS CAFE @ RWS -RWS (Mngdby Compass Group)",26,SENTOSA GATEWAY,B1-133,-,098138
"",Baker's Heart,1,IRVING PLACE,02-04,The Commerze,369546
"",Baker's Oven Pattisieries,2761,ANG MO KIO AVENUE 5,-,SPC PETROL KIOSK,569866
"",Baker's Oven Pattisieries,91,Sengkang East Way,-,SPC Petrol Station,544885
"",Bakers World,15-8,JALAN RIANG,-,SERANGOON PARK,3  5  8  9  87
"","BAKERY STALL (S3) @ DIGNITYKITCHEN",267,SERANGOON AVENUE 3,-,-,550267
"",Bali Thai Restaurant,391A,ORCHARD ROAD,05-29,NGEE ANN CITY TOWER A,2  3  8  8 73
"",Bali Thai Restaurant,1,WOODLANDS SQUARE,05-05,CAUSEWAY POINT,7  3  8  0 99
"",Bali Thai Restaurant,23,Serangoon Central,02-13,Nex,556083
"",Bali Thai Restaurant,33,Sengkang West Ave,02-01/02,The Seletar Mall,797653
"",Bali Thai Restaurant,3,TEMASEK BOULEVARD,B1-121,SUNTEC CITY MALL,0  3  8  983
"",Bali Thai Restaurant,2,JURONG EAST STREET 21,01-21,IMM BUILDING,6  0  9 601
"",Bali Thai Restaurant,83,Punggol Central,B1-13,Waterway Point (East Wing),878761
"",Bali Thai Restaurant,26,Sentosa Gateway,B1-221,The Forum @ Resorts World Sentosa,098138
"","BAN MIAN & FISH SOUP (S1) @ TheShort Circuit Temasek Polytechnic",21,TAMPINES AVENUE 1,-,"Temasek Polytechnic, School ofEngineering",529757
"","Ban Mian & Fish Soup (S8) @ CookHouse By Koufu",1,Pasir Ris Central St 3,03-01/02,WHITE SANDS,518457
"","Ban Mian (S12) @ Matrix CafeteriaITE College West",1,Choa Chu Kang Grove,02-01,BLK 3 ITE COLLEGE WEST,688236
"","Ban Mian (S2) @ Fork & Spoon ToaPayoh",470,LORONG 6 TOA PAYOH,02-70,HDB HUB,3  1  0  470
"","Ban Mian (S6) @ Cantine JurongPoint",1,JURONG WEST CENTRAL 2,B   1 -42/43/44,JURONG POINT,6   4  8  886
"","Ban Mian (S6) @ Kopitiam SingaporePost",10,EUNOS ROAD 8,03-104,SINGAPORE POST CENTRE,4  0  8  6  00
"",Ban Mian (S7) @ Kopitiam Vivo City,1,HARBOURFRONT WALK,B2-39,VIVO CITY,0  9  8585
"","Ban Mian Congee (S8) @ CantinePaya Lebar Square",60,Paya Lebar Road,B1-51,Paya Lebar Square,409051
"",Ban Mian Fish Soup (S9) @ KouFu,10,SINARAN DRIVE,04-14,SQUARE 2,3  0  7  506
"","Ban Mian/Fish Soup (S3)@Fork &Spoon Woodlands Mart",768,WOODLANDS AVENUE 6,-,WOODLANDS MART,7  3  0  7  68
"",Banana Leaf Curry (S4) @ Kopitiam,65,"AIRPORT BOULEVARD, CHANGIAIRPORT TERMINAL 3",B2-03,BASEMENT LEVEL 2 SOUTH,819663
"","Bangla Bhoj @ Shell Bukom (Mngdby Sodexo)",1908,Pulau Bukom Besar,01-01,1908 Pulau Bukom Besar,903808
"",BAR-B-Q TONIGHT,10,ROBERTS LANE,-,-,218289
"",BBQ Wholesale Centre Pte Ltd,81,FRANKEL AVENUE,-,FRANKEL ESTATE,4  5  8  2 09
"",BEBEK GORENG PAK NDUT,304,ORCHARD ROAD,0  1  -42/43/44,LUCKY PLAZA,2  3  8  863
"",BEBEK GORENG PAK NDUT,10,TAMPINES CENTRAL 1,01-58,TAMPINES ONE,5  2  9  536
"","Beef Noodles (S7) @ Cantine JurongPoint",1,JURONG WEST CENTRAL 2,b  1  -42/43/44,JURONG POINT,6   4  8  886
"",Belinda's Pancake,341,ANG MO KIO AVENUE 1,01-27,-,560341
"",BEN BAKER,258,BUKIT PANJANG RING ROAD,01-60,BUKIT PANJANG NEW TOWN,6  7  0  2  58
"",Better Baker,213,BEDOK NORTH STREET 1,01-109,-,460213
"",Beverage Section @ Straits Kitchen,10,Scotts Road,-,Grand Hyatt Singapore,228211
"","Beverage, Dessert, Fruit, Dim Sum(S1) @ Staff Canteen by KopitiamChangi Airport Terminal 2",60,AIRPORT BOULEVARD,3M-610,CHANGI AIRPORT TERMINAL 2,8  1  9  643
"","BEVERAGE-DIM SUM-CHICKENRICE (S4) @ AWAL MAKAN PLACE",60,PASIR RIS DRIVE 3,01,ARANDA COUNTRY CLUB,5  1  9  4  97
"",Beverages (S1) @ Kopitiam Vivo City,1,HARBOURFRONT WALK,B2-39,VIVO CITY,0  9  8585
"","Beverages Corner (B2) @Takashimaya (Mngd by The WokPeople)",391,ORCHARD ROAD,-,NGEE ANN CITY,2  3  8  872
"","Beverages Desserts (S1) @ BagusCauseway Point",1,WOODLANDS SQUARE,07-03,CAUSEWAY POINT,7  3  8  0 99
"","Beverages, Fruits, Dessert & ValueSet (S1) @ On The Ridge ByKopitiam NUH",1,Lower Kent Ridge Road,05-01,One @ Kent Ridge,119082
"","Beverages/Fried Delight (S5)@MyKampung Heartbeat@Bedok",11,Bedok North Street 1,01-28/29,Heartbeat @ Bedok,469662
"",Beyond Pancakes,180,KITCHENER ROAD,02-35/36,City Square Mall,208539
"",BIBIK CATERERS PTE. LTD.,2,Pandan Crescent,02-00,Inchcape Centre / Borneo Motors,128462
"",Big Fish Small Fish,200,Victoria Street,04-05,Bugis Junction,188021
"",Big Fish Small Fish,1,Northpoint Drive,02-132/133,South Wing of Northpoint City,768019
"",Big Fish Small Fish,,50 Punggol East,01-K35,-,828826
"",Big Fish Small Fish,4,TAMPINES CENTRAL 5,B1-K3,TAMPINES MALL,5  2  9  510
"","Bingsu Corner Korean Dessert @fusion spoon",1,CLUNY ROAD,B1-00,NATIONAL PARKS BOARD,2  5  9   5 69
"",Bizlink Cafe,10,BUANGKOK VIEW,-,INSTITUTE OF MENTAL HEALTH,5  3  9  7 47
"",BLACK & WHITE DELIGHT,18,MARINA GARDENS DRIVE,-,SATAY BY THE BAY (S8),018953
"",BLACK & WHITE DELIGHT,18,MARINA GARDENS DRIVE,-,SATAY BY THE BAY (S11C),018953
"",Blisshouse Theme Restaurant,6,EU TONG SEN STREET,0  3--13A-21,Clarke Quay The Central (Yellow Zone),059817
"","Blue Jasmine @ Park Hotel FarrerPark",10,Farrer Park Station Road,05,Park Hotel Farrer Park,217564
"",BOLEH! BOLEH!,451,JURONG WEST STREET 42,01-174,-,640451
"",BOON LAY CAFE,301,BOON LAY WAY,01-12/13,BOON LAY MRT STATION,6  4  9  8 46
"",B'Pastriez,9,TELOK BLANGAH CRESCENT,01-119,-,090009
"",Brastagi Nasi Padang & Café,20,HAVELOCK ROAD,01-07,CENTRAL SQUARE,0   5  9  7 65
"",BREAD FRESH,257,BANGKIT ROAD,01-57,BUKIT PANJANG NEW TOWN,6  7  0  2  57
"",BREAD FRESH,103,YISHUN RING ROAD,01-65,-,760103
"",BREAD FRESH,445,FAJAR ROAD,01-524,-,670445
"",BREAD FRESH,598,Yishun Ring Road,01-61,Wisteria Mall,768698
"",BREAD JUNCTION,639,PUNGGOL DRIVE,01-03,-,820639
"",BREAD JUNCTION,547,Segar Road,01-02,-,670547
"",Bread-Garden,417,YISHUN AVENUE 11,01-343,-,760417
"",Bread-Garden,283,BUKIT BATOK EAST AVENUE 3,01-257,-,650283
"",Bread-Garden,485,Segar Road,01-510,-,670485
"",Bread-Garden,768,WOODLANDS AVENUE 6,01-23,WOODLANDS MART,7  3  0  7  68
"",Breadwerks,1,TAMPINES WALK,B1-K30,OUR TAMPINES HUB,528523
"",Breadwerks,348,BEDOK ROAD,01-03,BEDOK MARKET PLACE,4  6  9  5  60
"",Breadwerks,81,JOO CHIAT ROAD,01-02/03,-,427725
"",Breeze Cafe & Ice Cream Stop,1,PASIR RIS CLOSE,01-344,E!Hub @Downtown East,5  1 9599
"",Brew and Bites,501,STIRLING ROAD,-,MDIS Campus,148951
"",Brinda's,162,BUKIT MERAH CENTRAL,01-3533,-,150162
"",BRIO,1,JURONG WEST CENTRAL 2,02-24,JURONG POINT,6   4  8  886
"","Buffet City International BuffetRestaurant",101,CANTONMENT ROAD,01-04,TANJONG PAGAR COMMUNITY CLUB,0  8  9  7  7 4
"","BUKIT PANJANG CHICKEN RICE(S2) @ BT PANJANG HAWKERCENTRE & MARKET",2,Bukit Panjang Ring Road,01-02,-,679947
"",Bumbu Restaurant,4,QUEEN'S ROAD,02-101,-,260004
"",Bumbu Restaurant,44,KANDAHAR STREET,-,-,198897
"",Bumbu Restaurant,125,TELOK AYER STREET,-,-,068594
"",Bun Times,1,Joo Koon Circle,01-36,Fairprice Hub,629117
"",Bun Times,302,TIONG BAHRU ROAD,B1-123,TIONG BAHRU PLAZA,1  6  8  7 32
"","Buntong Chicken Rice (S10)@TheFood Market Century Square",2,TAMPINES CENTRAL 5,03-19,CENTURY SQUARE,5  2  9  5  09
"","Burger & Satay (S3) @ Foodfare EAvenue",1,PASIR RIS CLOSE,01-339,PASIR RIS NTUC RESORT,5  1  9  599
"",Burger King,8A,Marina Boulevard,B2-03,Marina Bay Link Mall,018984
"",Burger King,60,Paya Lebar Road,01-37-43,Paya Lebar Square,409051
"",Burger King,3,TEMASEK BOULEVARD,03-371,SUNTEC CITY MALL,0  3  8  983
"",Burger King,2,CLEMENTI WEST STREET 2,01-01,WEST COAST COMMUNITY CENTRE,1  2  9  6  0 5
"",Burger King,1,WOODLANDS STREET 31,01-01,FUCHUN COMMUNITY CLUB,738581
"",Burger King,530,LORONG 6 TOA PAYOH,01-05,HDB HUB,3  1  0  530
"",Burger King,8,GRANGE ROAD,01-07,CATHAY CINELEISURE  ORCHARD,2  3  9  6  95
"",Burger King,10,"Airport Boulevard, Changi AirportTerminal 4",02-228,LOUNGE MEZZANINE(#02-K36),819665
"",Burger King,604,SEMBAWANG ROAD,01-01,SEMBAWANG SHOPPING CENTRE,7  5  8  4  5  9
"",Burger King,65,AIRPORT BOULEVARD,03-13,CHANGI AIRPORT TERMINAL 3,8  1  9  663
"",Burger King,6,EU TONG SEN STREET,01-23/26,The Central,059817
"",Burger King,23,BUKIT BATOK EAST AVENUE 4,01-01,"BUKIT BATOK EAST COMMUNITYCLUB",659841
"",Burger King,68,ORCHARD ROAD,B1-11,PLAZA SINGAPURA,2  3  8  8 39
"",Burger King,4,TAMPINES CENTRAL 5,01-47,TAMPINES MALL,5  2  9  510
"",Burger King,175,BENCOOLEN STREET,01-01,BURLINGTON SQUARE,1  8  9  6  49
"",Burger King,50,Jurong Gateway Road,B1-02,Jurong East Mall (JEM),608549
"",Burger King,460,ALEXANDRA ROAD,0 1-17-20,PSA BUILDING,1   1  9 963
"",Burger King,2,TAMPINES STREET 41,01-02,"TAMPINES NORTH COMMUNITYCLUB",529204
