"",COMPANY / EST. NAME,ADDRESS,"POSTAL CODE",,,
"",Epikebabs,8,WILKIE ROAD,01-17,WILKIE EDGE,2  2  8  095
"",Evertop Family Restaurant,89 / 91,JOO CHIAT ROAD,00-00,-,427383
"","Evertop Hainanese Boneless ChickenRice",354,CLEMENTI AVENUE 2,01-259,"CLEMENTI AVENUE 2 SHOPPINGCENTRE",120354
"",Fatimah (S1) @ThirdPlace,18,TUAS AVENUE 7,-,-,639272
"","FATIMAH KITCHEN @THIRDPLACE",1,CLEANTECH LOOP,02-32,CLEANTECH ONE,637141
"","Fatimah Nasi Padang (S9) @Thirdplace",1,STARS AVENUE,04-01,MEDIACORP CAMPUS,138507
"","FATTY BOM BOM (S1) @ ST 11Coffee Shop",167,Woodlands St 11,-,ST11 Coffee House,730167
"","Fatty Bom Bom SIZZLE (S2) @Grains & Hops Food Court Bistro",978,Toa Payoh North,02-01,Green Marks Buildings,319001
"","Fire Western N Grill(S10)@Foodjunction Eastpoint",3,SIMEI STREET 6,04-04,EASTPOINT MALL,5  2  8  833
"","Fire Western N Grill (S6) @ Orchis T1Canteen",80,AIRPORT BOULEVARD,UB,CHANGI AIRPORT TERMINAL 1,8  1  9  642
"","Fire Western N Grill (S9) @The FoodMarket Century Square",2,TAMPINES CENTRAL 5,03-19,CENTURY SQUARE,5  2  9  5  09
"","Fire Western N Grill Pasta & Grill (S6)@ Foodjunction NEX",23,Serangoon Central,04-36/37,Nex Shopping Centre,556083
"",Fish & Chicks,531,ANG MO KIO AVENUE 10,01-2429,Happy Hawkers,560531
"",Fish & Chicks,8,GRANGE ROAD,B1-01,CATHAY CINELEISURE  ORCHARD,2  3  9  6  95
"",Fish & Chicks,,204 Bedok North Street 1,01-393,-,460204
"","FISH & CO RESTAURANTS PTELTD",83,Punggol Central,B1-18,WATERWAY POINT (EAST WING),828761
"","FISH & CO RESTAURANTS PTELTD",3,GATEWAY DRIVE,01-03,WESTGATE MALL,608532
"","FISH & CO RESTAURANTS PTELTD",1,HARBOURFRONT WALK,0 2-116,VIVO CITY,0  9  8585
"","FISH & CO RESTAURANTS PTELTD",290,ORCHARD ROAD,B 1-35/36,"PARAGON, THE",2   3  8  859
"","FISH & CO RESTAURANTS PTELTD",201,VICTORIA STREET,04-07,Bugis+,188067
"","FISH & CO RESTAURANTS PTELTD",1,JURONG WEST CENTRAL 2,02-20E,JURONG POINT,6   4  8  886
"","FISH & CO RESTAURANTS PTELTD",238,THOMSON ROAD,03-11,NOVENA SQUARE,3  0  7  6  83
"","FISH & CO RESTAURANTS PTELTD",252,NORTH BRIDGE ROAD,B  1--63/64,RAFFLES CITY SHOPPING CENTRE,1  7  9  1  03
"","FISH & CO RESTAURANTS PTELTD",33,Sengkang West Avenue,03-22/K4/K5,SELETAR MALL,797653
"","FISH & CO RESTAURANTS PTELTD",53,ANG MO KIO AVENUE 3,02-03,AMK HUB,5  6  9  933
"","FISH & CO RESTAURANTS PTELTD",311,NEW UPPER CHANGI ROAD,01-71/72,BEDOK MALL,467360
"","FISH & CO RESTAURANTS PTELTD",10,TAMPINES CENTRAL 1,04-11,TAMPINES ONE,529536
"","FISH & CO RESTAURANTS PTELTD",60,AIRPORT BOULEVARD,36-85,"CHANGI AIRPORT TERMINAL 2(VIEWING MALL NORTH)",819643
"","Fish Soup (R7) @ Staff Canteen byKopitiam Changi Airport Terminal 2",60,AIRPORT BOULEVARD,3M-07,CHANGI AIRPORT TERMINAL 2,8  1  9  643
"","Fish Soup (S2) @ Bagus CausewayPoint",1,WOODLANDS SQUARE,07-03,CAUSEWAY POINT,7  3  8  0 99
"","Fish Soup (S4) @ Cantine JurongPoint",1,JURONG WEST CENTRAL 2,B   1 -42/43/44,JURONG POINT,6   4  8  886
"","Fish Soup (S4) @ Cantine PayaLebar Square",60,Paya Lebar Road,B1-51,Paya Lebar Square,409051
"","Fish Soup (S5) @ Healthy KopitiamNTFGH",01,Jurong East Street 21,02-01,Ng Teng Fong General Hospital,609606
"","Fish Soup (S6) @ Koufu SengkangGeneral and Community Hospital",1,Anchorvale Street,01-21,Sengkang General Hospital,544835
"","FISH SOUP (S8) @ LOT ONESHOPPER'S MALL",21,CHOA CHU KANG AVE 4,04-15/16,LOT ONE SHOPPER'S MALL,689812
"","FISH SOUP BY THAKSIN BEEFNOODLE",2,SEAH IM ROAD,01-38,Seah Im Food Centre,099114
"",fish tales,,2 Orchard Link,-,"02-18B, 26 & 27, *SCAPE",237978
"",fish tales,351,BEDOK ROAD,-,-,469539
"","Fishball Noodle (S10) @ CantinePaya Lebar Square",60,Paya Lebar Road,B1-51,Paya Lebar Square,409051
"","Fishball Noodle (S10) @ HealthyKopitiam KKH",100,BUKIT TIMAH ROAD,01-28,"KK WOMEN'S AND CHILDREN'SHOSPITAL",229899
"","Fishball Noodles (S6) @ KopitiamHillion Mall",17,Petir Road,02-15,-,678278
"",Fisher's Tavern Seafood,,6 Yishun Industrial Street 1,01-01,North View Bizhub,768090
"","Fitra Chicken Rice (M3) @Foodjunction Junction 8",9,BISHAN PLACE,04-01,JUNCTION 8 SHOPPING CENTRE,5  7  9  8 37
"","Fitra Chicken Rice (M3) @Foodjunction Junction 8",9,BISHAN PLACE,04-01,JUNCTION 8 SHOPPING CENTRE,5  7  9  8 37
"","Fitra Chicken Rice(S10)@Foodjunction Bugis Junction",200,VICTORIA STREET,03-30,BUGIS JUNCTION,188021
"","Fitra Chicken Rice (S11) @FoodJunction Eastpoint",3,SIMEI STREET 6,04-04,EASTPOINT MALL,5  2  8  833
"","Fitra Chicken Rice(S18)@Foodjunction Raffles City",252,NORTH BRIDGE ROAD,03-15,RAFFLES CITY SHOPPING CENTRE,1  7  9  1  03
"","Fitra Chicken Rice (S3)@Foodjunction One Raffles Place",1,RAFFLES PLACE,05-07,OUB CENTRE,0  4  8   616
"","Fitra Chicken Rice (S3)@KopitiamHillion Mall",17,Petir Road,02-15/20,Hillion Mall,678278
"","Fitra Chicken Rice(S4)@Foodjunction One Km",11,Tanjong Katong Road,03-38 - 40,ONE KM,437157
"","FITRA CHICKEN RICE (S55) @KOPITIAM SENGKANG",10,Sengkang Square,01-01,Kopitiam Foodcourt,544829
"","Fitra Chicken Rice (S6)@NTUCFoodfare The Clementi Mall",3155,Commonwealth Avenue West,04-21/22,The Clementi Mall,129588
"","Fitra Chicken Rice (S7) @ Orchis T1Canteen",80,AIRPORT BOULEVARD,UB,CHANGI AIRPORT TERMINAL 1,8  1  9  642
"","Fitra Chicken Rice (S8)@Foodjunction NEX",23,Serangoon Central,04-36/37,NEX,556083
"","Fitra Foods Hainanese Chicken Rice(S11) @ FoodRepublic City Square",180,KITCHENER ROAD,04-31,CITY SQUARE MALL,208539
"","Fitra Hainanese Chicken Rice(S1)@Food Republic Wisma Atria",435,ORCHARD ROAD,0 4-02/38,WISMA ATRIA,2  3  8  877
"","Fitra Western/Chicken Rice(MR2)@Foodjunction Rivervale Mall",11,RIVERVALE CRESCENT,0 1-01/03,RIVERVALE MALL,5  4  5  082
"",FLAMING SPICE,1,PASIR RIS CLOSE,01-309,E!HUB@DOWNTOWN EAST,519599
"",Flavour Flings,121,HOUGANG AVENUE 1,01-1348,-,530121
"",Fong Seng Fast Food Nasi Lemak,22,Clementi Road,-,-,129751
"",FONG SENG NASI LEMAK,101,PASIR PANJANG ROAD,-,-,118527
"",FOOD FEST,461,CLEMENTI ROAD,01-1.24,Annexe Building Block B @ SIM,599491
"","Foodlicious (S6) @ Awal MakanPlace",60,PASIR RIS DRIVE 3,01,ARANDA COUNTRY CLUB,5  1  9  4  97
"","FRIAR'S @ UNIVERSAL STUDIOSSINGAPORE (RWS)",30,SENTOSA GATEWAY,01-333,-,098269
"",Fried Chicken Master,23,Serangoon Central,B2-48A,Nex,556083
"","Fried Items by Straits Wok (S8) @Kopitiam T2",60,AIRPORT BOULEVARD,06-10,CHANGI AIRPORT TERMINAL 2,8  1  9  643
"","Fried Kway Teow (S5) @ BagusCauseway Point",1,WOODLANDS SQUARE,07-03,CAUSEWAY POINT,7  3  8  0 99
"","Fried Kway Teow (S8) @ On TheRidge by Kopitiam NUH",1,Lower Kent Ridge Road,05-01,One@KentRidge,119082
"","Fried Rice (S1) NTUC FoodfareAMKHub",53,ANG MO KIO AVENUE 3,03-12,AMK HUB,569933
"","Fried Yong Tau FU (S5) @ QuadCafe",60,NANYANG DRIVE,B1,School of Biological Sciences,637551
"",FS Cafe,27,WOODLANDS AVENUE,01-03,REPUBLIC POLYTECHNIC,7  3  8  9 64
"",FS Cafe,535,CLEMENTI ROAD,01-01,NGEE ANN POLYTECHNIC,5  9  9  4  89
"","Fusion Delights (S1) @ Mr Teh TarikEating House",728,ANG MO KIO AVENUE 6,01-4200,-,560728
"",Fusion Delights (S2) @ Mr Teh Tarik,204,BEDOK NORTH STREET 1,01-435,-,460204
"","Fusion Delights (S2) @ Mr Teh TarikEating House",625,ELIAS ROAD,01-332,ELIAS MALL,5  1  0 625
"",fusion spoon,1,CLUNY ROAD,B1-00,NATIONAL PARKS BOARD,2  5  9   5 69
"","Fusion Western (S7) @ 449 CoffeeShop",449,Clementi Ave 3,01-211,-,120449
"",G V MEAT DISTRIBUTOR,665,BUFFALO ROAD,-,ZHUJIAO CENTRE (TEKKA MARKET),2  1  0  6 65
"",GADO & GRILL,60,PAYA LEBAR ROAD,B1-08,PAYA LEBAR SQUARE,409051
"",GADO & GRILL,1,RAFFLES PLACE,B1-20,ONE RAFFLES PLACE,0  4  8  6  1  6
"",GADO & GRILL,1,NORTHPOINT DRIVE,B1-198,NORTHPOINT CITY,768019
"",GELARE,1,Vista Exchange Green,02-27,The Star Vista,138617
"",GELARE,83,PUNGGOL CENTRAL,02-25,WATERWAY POINT (West Wing),828761
"",GELARE,313,ORCHARD ROAD,B2-15,313@SOMERSET,238895
"",GELARE,333,BOON LAY WAY,2B-02,Safra Jurong,649848
"",GELARE,,17 Petir Road,B1-31/32,Hillion Mall,678278
"",GELARE,51,YISHUN CENTRAL 1,01-06/K2,YISHUN 10 CINEMA COMPLEX,7  6  8  7 94
"",GELARE,1,WOODLANDS SQUARE,"03-K-06/07/08",CAUSEWAY POINT,7  3  8  0 99
"",GELARE,201,VICTORIA STREET,05-10,BUGIS+,188067
"",GELARE,1,BUKIT BATOK CENTRAL LINK,01-06,WEST MALL,6  5  8  713
"",GELARE,750,CHAI CHEE ROAD,01-32,TECHNOPARK @ CHAI CHEE,4  6  9  0  00
"",GELARE,11,Tanjong Katong Road,03-K1,KINEX SHOPPING MALL,437157
"",GELARE,1,SENGKANG SQUARE,01-46,COMPASS ONE,5  45078
"",GELARE,2,JURONG EAST STREET 21,01-22A,IMM BUILDING,6  0  9 601
"",GELARE,10,TAMPINES CENTRAL 1,04-K2/K3,TAMPINES ONE,5  2  9  536
"",Gion Dining,,20 Ah Hood Road,01-19,-,329984
"",GLC RESTAURANT,121,UPPER PAYA LEBAR ROAD,-,-,534836
"",Gloria Jean's Coffees,500,Jalan Sultan,-,Hotel Boss,199020
"",Gloria Jean's Coffees,41,Bencoolen Street,01-02,-,189623
"",GLORY CATERING,139,EAST COAST ROAD,-,-,428829
"","GO NASI PADANG (S13) @ NTUCFOODFARE (RIVERVALE MALL)",11,Rivervale Crescent,-01,Rivervale Mall,5  45082
"",GoGo Franks,63,JURONG WEST CENTRAL 3,03-89B,JURONG POINT,6   4  8  886
"",GoGo Franks,20,TAMPINES CENTRAL 1,01-02,TAMPINES MRT STATION,5  2  9  5 38
"",GoGo Franks,53,ANG MO KIO AVENUE 3,B2-41,AMK HUB,569933
"",GoGo Franks,391A,ORCHARD ROAD,B  2  -07-05-03,NGEE ANN CITY TOWER A,2  3  8  8 73
"",GoGo Franks,1,WOODLANDS SQUARE,-,CAUSEWAY POINT,7  3  8  0 99
"",GoGo Franks,930,YISHUN AVENUE 2,B1-25,NORTHPOINT,7  6  9  0 98
"",Goh Chew Kee,500,Clemenceau Avenue North,01-19,Newton Food Centre,229495
"","GOLDILOCKS FRIED CHICKEN @UNIVERSAL STUDIOS SINGAPORE(RWS)",30,SENTOSA GATEWAY,01-332,-,098269
"",GOOD COFFEE PLEASE,1,JURONG EAST STREET 21,02-28,"TOWER A, NG TENG FONG GENERALHOSPITAL",609606
"",Good Old Days,60,SILOSO BEACH WALK,01-03/04,-,098997
"","Goreng Pisang (S12) @ CantinePaya Lebar Square",60,Paya Lebar Road,B1-51,Paya Lebar Square,409051
"","Grab & Go @ Shell Bukom (Mngd bySodexo)",1908,Pulau Bukom Besar,01-01,-,S903808
"",Grasso Coffee,11,RIVERVALE CRESCENT,0 1-17/18,RIVERVALE MALL,5  4  5  082
"",Grasso Coffee,1,IRVING PLACE,01-27/28,THE COMMERZE @ IRVING,369546
"","Green Delight Yong Tau Foo (S1) @Food Republic City Square Mall",180,KITCHENER ROAD,04-31,City Square Mall,208539
"",Green Delights,3,Gateway Drive,B2-K15/16,Westgate,608532
"",Green Sky Fried Kway Teow,1,BEDOK ROAD,01-14,-,469572
"","Gurame Indonesian Restaurant Pte.Ltd.",11,CHANGI COAST WALK,-,"SAFRA RESORT SEA SPORTSCENTRE",499740
"","GURU'S BANANA LEAF CUISINEPTE LTD",1,CHANGI VILLAGE ROAD,01-2020,-,500001
"","GURU'S BANANA LEAF CUISINEPTE LTD",1,CHANGI VILLAGE ROAD,01-2018,-,500001
"","GURU'S BANANA LEAF CUISINEPTE LTD",19,SERANGOON NORTH AVENUE 5,02-03,-,554913
"","GW CHICKEN RICE (S3) @ FORK &SPOON TOA PAYOH",470,LORONG 6 TOA PAYOH,02-70,HDB HUB,3  1  0  470
"",GW Chicken Rice (S6) @ Aiman Cafe,235,JURONG EAST STREET 21,01-320,-,600235
"",HAI KEE SEAFOOD,500,CLEMENCEAU AVENUE NORTH,01-78,NEWTON FOOD CENTRE,229495
"","Hainanese Chicken Rice (S10) @Kopitiam JCube",2,JURONG EAST CENTRAL 1,B1-19,JCube,609731
"","Hainanese Chicken Rice (S3) @NTUC Foodfare Fairprice Hub",1,Joo Koon Circle,03-25,Fairprice Hub,629117
"",Halal Section @ NTUC Fairprice,510,Bishan Street 13,01-520,-,570510
"",Halal Section @ NTUC Fairprice,11,RIVERVALE CRESCENT,03-01,RIVERVALE MALL,5  4  5  082
"",Halal Section @ NTUC Fairprice,133,NEW BRIDGE ROAD,B1-01,CHINATOWN POINT,0  5  9  4 13
"",Halal Section @ NTUC Fairprice,712,Ang Mo Kio Ave 6,01-4056,-,560712
"",Halal Section @ NTUC Fairprice,17,Petir Road,B2-67,Hillion Mall,678278
"",Halal Section @ NTUC Fairprice,1,Stadium Place,01-29,Kallang Wave Mall,397628
"",Halal Section @ NTUC Fairprice,50,Jurong Gateway Road,B1-21/22,JEM,608549
"",Halal Section @ NTUC Fairprice,30,SEMBAWANG DRIVE,B  1  -01/02/03,SUN PLAZA,7  5  7  713
"",Halal Section @ NTUC Fairprice,23,Serangoon Central,03-01/02,Nex Mall,556083
"",Halal Section @ NTUC Fairprice,168,PUNGGOL FIELD RD,03-01/02,PUNGGOL PLAZA,8  2  0  1 68
"",Halal Section @ NTUC Fairprice,135,JURONG EAST STREET 13,01-337,-,600135
"",Halal Section @ NTUC Fairprice,63,Jurong West Central 3,03-01,-,648331
"",Halal Section @ NTUC Fairprice,100,HOUGANG AVE 10,01-01,KANG KAR MALL,538767
"",Halal Section @ NTUC Fairprice,212,BEDOK NORTH STREET 1,01-147,-,460212
"",Halal Section @ NTUC Fairprice,53,Amk Mo Kio ave 3,B2-26,AMK HUB,569933
"",Halal Section @ NTUC Fairprice,4,Tampines central 5,B1-12,tampines mall,529510
"",Halal Section @ NTUC Fairprice,3,SIMEI STREET 6,05-01,EASTPOINT MALL,5  2  8  833
"",Halal Section @ NTUC Fairprice,460,ALEXANDRA ROAD,0 1-09/16,PSA BUILDING,1   1  9 963
"",Halal Section @ NTUC Fairprice,166,BUKIT MERAH CENTRAL,01-3531,BUKIT MERAH AREA OFFICE,1  5  0  1 66
"",Halal Section @ NTUC Fairprice,192,LORONG 4 TOA PAYOH,01-672,-,310192
"",Halal Section @ NTUC Fairprice,8,Changi Business Park Ave 1,-,-,486018
"",Halal Section @ NTUC Fairprice,2,JOO CHIAT ROAD,01-1139,JOO CHIAT COMPLEX,4  2  0  0 02
"",Halal Section @ NTUC Fairprice,1,Hougang st 91,02-01,-,528892
"",Halal Section @ NTUC Fairprice,1,PASIR RIS CENTRAL STREET 3,B1-10,WHITESANDS,518457
"",Halal Section @ NTUC Fairprice,51,Tampines Avenue 4,B1-01,Festive Mall@Our Tampines Hub,529684
"","Halims Fish Soup (S12) @ The FoodMarket Century Square",2,TAMPINES CENTRAL 5,03-19,CENTURY SQUARE,5  2  9  5  09
"","Halim's Fish Soup (S4)@Foodjunction Junction 8",9,BISHAN PLACE,04-01,JUNCTION 8 SHOPPING CENTRE,5  7  9   8 37
"","Halim's Sliced Fish Soup(S12)@Foodjunction Eastpoint",3,SIMEI STREET 6,04-04,EASTPOINT MALL,5  2  8  833
"",Handi Restaurant & Catering,42/44,SAM LEONG ROAD,-,-,207934
"","Handmade Noodle & Fish Soup (S5)@ Bagus Harbourfront",1,MARITIME SQUARE,0  1-103/108,HARBOURFRONT CENTRE,0  9  9  2  5 3
"","Handmade Noodle (R3A) @ BagusCauseway Point",1,WOODLANDS SQUARE,07-03,CAUSEWAY POINT,7  3  8  0 99
"",Hanis,100,VICTORIA STREET,01-01,NATIONAL LIBRARY,1  8  8  064
"",Hanis,8,WILKIE ROAD,01-22,WILKIE EDGE,2  2  8  095
"",Hanis,1,Jurong East Street 21,02-09,"TOWER A Ng Teng Fong GeneralHospital",609606
"",Hanis,3,SIMEI STREET 6,01-14,EASTPOINT MALL,5  2  8  833
"",HANNA'S FUSION & JAPANESE,1,ROCHOR CANAL ROAD,04-02F,SIM LIM SQUARE,1  8  8  504
"","Happiness Sunbo Chicken Rice (S7)@ NTUC FoodFare KTPH",90,Yishun Central,01-12,Khoo Teck Puat Hospital,768828
"","HA-VEN GOURMET PIZZAFOCCACIA CAFE",40,WOODLANDS STREET 41,-,SINGAPORE AMERICAN SCHOOL,7  3  8  5  4 7
"",Hawkerman,10,EUNOS ROAD 8,B  1-128/129,SINGAPORE POST CENTRE,4  0  8  6  00
"","Heavenly Wang (Mngd by NTUCFoodfare)",1,PASIR RIS CLOSE,02-336,PASIR RIS NTUC RESORT,5  1  9  599
"","Heavenly Wang (Mngd by NTUCFoodfare)",3,SIMEI STREET 6,B1-20,EASTPOINT MALL,5  2  8  833
"","Heavenly Wang (Mngd by NTUCFoodfare)",1,Jurong East Street 21,01-02,"Ng Teng Fong General Hospital, TowerB",609606
"","Heavenly Wang (Mngd by NTUCFoodfare)",118,RIVERVALE DRIVE,01-38,RIVERVALE PLAZA,5  4  0  118
"","Heavenly Wang (Mngd by NTUCFoodfare)",63,EAST COAST ROAD,01-06,-,428776
"","Heavenly Wang (Mngd by NTUCFoodfare)",3,TEMASEK BOULEVARD,01-329,SUNTEC CITY MALL,0  3  8  983
"","Heavenly Wang (Mngd by NTUCFoodfare)",100,BUKIT TIMAH ROAD,01-33A,"KK WOMEN'S AND CHILDREN'SHOSPITAL",229899
"","Heavenly Wang (Mngd by NTUCFoodfare)",20,PASIR PANJANG ROAD,02-21,"Kitchen Loft, Mapletree Business City",117439
"","Heavenly Wang (Mngd by NTUCFoodfare)",24,RAFFLES PLACE,B1-01/10,CLIFFORD CENTRE,0  4  8  6 21
"","Heavenly Wang (Mngd by NTUCFoodfare)",12,MARINA BOULEVARD,02-01,Marina Bay Financial Centre,018982
"","Heavenly Wang (Mngd by NTUCFoodfare)",90,YISHUN CENTRAL,B1-08,"KHOO TECK PUAT HOSPITAL TOWERC",768828
"","Heavenly Wang (Mngd by NTUCFoodfare)",9,Sentul Crescent,03-04,Safra Punggol,828654
"","Heavenly Wang (Mngd by NTUCFoodfare)",10,Airport Boulevard,02-80,Changi Airport Terminal 4,819665
"","Heavenly Wang (Mngd by NTUCFoodfare)",118,RIVERVALE DRIVE,01-38,RIVERVALE PLAZA,5  4  0  118
"","Heavenly Wang (Mngd by NTUCFoodfare)",1,Jurong East Street 21,01-02,"Ng Teng Fong General Hospital, TowerB",609606
"","Heavenly Wang (Mngd by NTUCFoodfare)",12,MARINA BOULEVARD,02-01,Marina Bay Financial Centre,018982
"","Heavenly Wang (Mngd by NTUCFoodfare)",277,ORCHARD ROAD,B 2-07/08,Orchard Gateway,238858
"","Heavenly Wang (Mngd by NTUCFoodfare)",90,YISHUN CENTRAL,B1-08,"KHOO TECK PUAT HOSPITAL TOWERC",768828
"","Heavenly Wang (Mngd by NTUCFoodfare)",9,Sentul Crescent,03-04,Safra Punggol,828654
"","Heavenly Wang (Mngd by NTUCFoodfare)",100,BUKIT TIMAH ROAD,01-33A,"KK WOMEN'S AND CHILDREN'SHOSPITAL",229899
"","Heavenly Wang (Mngd by NTUCFoodfare)",63,EAST COAST ROAD,01-06,-,428776
"","Heavenly Wang (Mngd by NTUCFoodfare)",53,ANG MO KIO AVENUE 3,02-58,AMK HUB,5  6  9  933
"","Heavenly Wang (Mngd by NTUCFoodfare)",53,ANG MO KIO AVENUE 3,02-58,AMK HUB,5  6  9  933
"","Heavenly Wang (Mngd by NTUCFoodfare)",1,MARITIME SQUARE,01-83,HARBOURFRONT CENTRE,0  9  9  2  5 3
"","Heavenly Wang (Mngd by NTUCFoodfare)",277,ORCHARD ROAD,B 2-07/08,Orchard Gateway,238858
"","Heavenly Wang (Mngd by NTUCFoodfare)",65,AIRPORT BOULEVARD,01-25,"CHANGI AIRPORT TERMINAL 3ARRIVAL MEETING HALL CENTRAL",819663
"","Heavenly Wang (Mngd by NTUCFoodfare)",65,AIRPORT BOULEVARD,01-25,"CHANGI AIRPORT TERMINAL 3ARRIVAL MEETING HALL CENTRAL",819663
"","Heavenly Wang (Mngd by NTUCFoodfare)",1,Northpoint Drive,01-167,Northpoint City,768019
"","Heavenly Wang (Mngd by NTUCFoodfare)",20,PASIR PANJANG ROAD,02-21,"Kitchen Loft, Mapletree Business City",117439
"","Heavenly Wang (Mngd by NTUCFoodfare)",1,MARITIME SQUARE,01-83,HARBOURFRONT CENTRE,0  9  9  2  5 3
"","Heavenly Wang (Mngd by NTUCFoodfare)",3,SIMEI STREET 6,B1-20,EASTPOINT MALL,5  2  8  833
"","Heavenly Wang (Mngd by NTUCFoodfare)",1,PASIR RIS CLOSE,02-336,PASIR RIS NTUC RESORT,5  1  9  599
"","Heavenly Wang (Mngd by NTUCFoodfare)",24,RAFFLES PLACE,B1-01/10,CLIFFORD CENTRE,0  4  8  6 21
"","Heavenly Wang (Mngd by NTUCFoodfare)",65,"AIRPORT BOULEVARD, CHANGIAIRPORT TERMINAL 3",02-K5,"DEPARTURE/TRANSIT LOUNGESOUTH",819663
"",Hei Good Catering,20,COLLEGE ROAD,01-01,SGH Academia,169856
"",HEI SUSHI,604,SEMBAWANG ROAD,0  1 -22 / 23,SEMBAWANG SHOPPING CENTRE,7  5  8  4  5  9
"",HEI SUSHI,2,JURONG EAST STREET 21,01-K10,IMM BUILDING,6  0  9 601
"",HEI SUSHI,28,TAI SENG STREET,01-02,SAKAE BUILDING,534106
"",HEI SUSHI,1,PASIR RIS CLOSE,02-334,-,519599
"",HEI SUSHI,750,CHAI CHEE ROAD,01-07,VIVA BUSINESS PARK,469000
"",HELLO KITTY ORCHID GARDEN,65,AIRPORT BOULEVARD,01-22,CHANGI AIRPORT TERMINAL 3,819663
"",Hey Sugar,818,Choa Chu Kang Avenue 1,01-06,Keat Hong Mirage,680818
"",High Kee BBQ Seafood,1220,EAST COAST PARKWAY,-,-,468960
"","Hilltop Cafe @ SAF Band Complex(Nee Soon Camp)",13A,"NEE SOON CAMP TRANSITROAD",-,-,778897
"",Hjh. Maimunah Restaurant Pte. Ltd.,11,JALAN PISANG,-,-,199078
"",Hjh. Maimunah Restaurant Pte. Ltd.,20,JOO CHIAT ROAD,01-02,-,427357
"",Hokey Poki (S5) @ FOMO,38,SULTAN GATE,01-01,-,198486
"",Hokkaido Baked Cheese Tart Pte Ltd,80,Marine Parade Road,01-23B,Parkway Parade,449269
"",Hokkaido Baked Cheese Tart Pte Ltd,930,Yishun Avenue 2,B1-46,North Point Shopping Centre,769098
"",Hokkaido Baked Cheese Tart Pte Ltd,1,Woodlands Square,B1-K25,Causeway Point,738099
"",Hokkaido Baked Cheese Tart Pte Ltd,1,Jurong West Central 2,B1-K2,Jurong Point,648886
"",Hokkaido Baked Cheese Tart Pte Ltd,5,Changi Business Park Central 1,B1-K5,Changi City Point,486038
"",Hokkaido Baked Cheese Tart Pte Ltd,65,Airport Boulevard,B2-11,"Changi Airport Terminal 3 BasementLevel 2",819663
"",Hokkaido Baked Cheese Tart Pte Ltd,1,Pasir Ris Central Street 3,03-K3,White Sands Mall,518457
"","Hokkien Mee (S14) @ FoodjunctionEastpoint Mall",3,SIMEI STREET 6,04-04,EASTPOINT MALL,5  2  8  833
"","Hokkien Mee (S7)@Foodjunction LotOne",21,CHOA CHU KANG AVENUE 4,0 4-15/16,Lot One Shopper's Mall,689812
"",Home Of Seafood (S) Pte Ltd,1,JOO CHIAT PLACE,-,-,427739
"","Hong Kong Beef King (S3) @ TheFood Market Century Square",2,TAMPINES CENTRAL 5,03-19,CENTURY SQUARE,5  2  9  5  09
"",HongKong Beef King,24,RAFFLES PLACE,B1-01/10,CLIFFORD CENTRE,0  4  8  6 21
"","HOT DRINKS & SNACKS(S1)@FUCHUN PRIMARY SCHOOL",23,WOODLANDS AVENUE 1,-,FUCHUN PRIMARY SCHOOL,7  3  9  0  63
"",Hot Hot Ayam Penyet,508,Jurong West Street 52,01-170,-,640508
"",HOT STATION @ AQUAMARINE,6,RAFFLES BOULEVARD,04,MARINA SQUARE,0  3  9  5 94
"","Hotdogs & Drinks @ Adventure CoveWaterpark (MLP – RWS)",8,Sentosa Gateway,-,-,098269
"","Hotplate (R3C) @ Bagus CausewayPoint",1,WOODLANDS SQUARE,07-03,CAUSEWAY POINT,7  3  8  0 99
"","Hotplate (S14) @ Cantine JurongPoint",1,JURONG WEST CENTRAL 2,B   1 -42/43/44,JURONG POINT,6   4  8  886
"",Hotplate (S3) @ Kopitiam Northpoint,930,YISHUN AVENUE 2,B2-12,NORTHPOINT,7  6  9  0 98
"","Huat Huat Chicken Wings (S7) @Foodjunction NEX",23,Serangoon Central,04-36/37,NEX,556083
"",I AM MOJO (K1)@Yummy Box,1,Venture Avenue,03-K1,Big Box,"SW14B09K000"
"","I eat @ Dover (Mngd by On & OnDiners Pte Ltd)",10,DOVER DRIVE,B2,"SINGAPORE INSTITUTE OFTECHNOLOGY, PODIUM B",138683
"",Ice Cream Chefs,12,JALAN KURAS,-,SEMBAWANG HILLS ESTATE,5  7  7  7  27
"",Ice Cream Chefs,2,TELOK BLANGAH WAY,0 2-08A/B,-,098803
"",Ichikokudo,3,Temasek Boulevard,B1-135,Suntec City Mall,0  38983
"",IKEA Restaurant (Line3) @ Tampines,60,TAMPINES NORTH DRIVE 2,-,-,528764
"","IN-CLOVER CAFE (Mngd by SATSFOOD SERVICES PTE. LTD.)",,19 Adam Road,"#01",Concorde International Hospital,289891
"","Indian (R3D) @ Bagus CausewayPoint",1,WOODLANDS SQUARE,07-03,CAUSEWAY POINT,7  3  8  0 99
"","Indian Cuisine (S10) @ FoodEmporium",10,AIRPORT BOULEVARD,02-205,"CHANGI AIRPORT TERMINAL 4(MEZZANINE)",819665
"","Indian Cuisine (S2) @ Mr Teh TarikEating House",608,ANG MO KIO AVENUE 5,01-2771,-,560608
