,Name,Address1,Address2,Address3,Address4,Postal,lng,lat,full_address
34,AH HUAT,2,BUKIT BATOK WEST AVENUE 7,01-09C,HOMETEAM NS,659003,103.7480355,1.366317,2 BUKIT BATOK WEST AVENUE 7 01-09C HOMETEAM NS
35,Ah Meng Bistro,80,Mandai Lake Road,,Singapore Zoological Restaurant,729826,103.790772,1.403136,80 Mandai Lake Road  Singapore Zoological Restaurant
36,Ah Meng Kitchen,80,Mandai Lake Road,,SINGAPORE ZOOLOGICAL GARDEN,729826,103.790772,1.403136,80 Mandai Lake Road  SINGAPORE ZOOLOGICAL GARDEN
37,AJ Delights,120,BUKIT MERAH LANE 1,01-82&83,Alexandra Village Food Centre,150120,103.8046455,1.286388,120 BUKIT MERAH LANE 1 01-82&83 Alexandra Village Food Centre
38,Ajuma Japanese & Korean Cuisine (R10) @ Staff Canteen By Kopitiam Changi Airport Terminal 2,60,AIRPORT BOULEVARD,3M-10,CHANGI AIRPORT TERMINAL 2,819643,103.9895145,1.3541940000000001,60 AIRPORT BOULEVARD 3M-10 CHANGI AIRPORT TERMINAL 2
39,AL AZHAR,201D,TAMPINES STREET 21,01-1155,,524201,103.953321,1.352223,201D TAMPINES STREET 21 01-1155 
40,AL AZHAR,11/12,CHEONG CHIN NAM ROAD,,,599746,103.7751705,1.342899,11/12 CHEONG CHIN NAM ROAD  
41,AL MADINA Famous Prata Corner,155,Bukit Batok St 11,01-324,,650155,103.7436795,1.348056,155 Bukit Batok St 11 01-324 
42,AL MADINA Famous Prata Corner,177,Bukit Batok West Ave 8,01-247,,650177,103.74174,1.346346,177 Bukit Batok West Ave 8 01-247 
43,AL MADINA Famous Prata Corner,257,Bangkit Road Bukit Panjang New Town,01-61,Zhenghua 257 Coffee House,670257,103.773213,1.378512,257 Bangkit Road Bukit Panjang New Town 01-61 Zhenghua 257 Coffee House
44,AL MADINA Famous Prata Corner,167,Woodlands St 11,01-07,,730167,103.775886,1.433592,167 Woodlands St 11 01-07 
45,AL MADINA Famous Prata Corner,635C,Senja Road,01-01,,673635,103.758327,1.38654,635C Senja Road 01-01 
46,ALL GOOD GOURMET,23,SERANGOON CENTRAL,B2-49,NEX,556083,103.872294,1.350765,23 SERANGOON CENTRAL B2-49 NEX
47,ALL GOOD GOURMET,23,SERANGOON CENTRAL,B2-49,NEX,556083,103.872294,1.350765,23 SERANGOON CENTRAL B2-49 NEX
48,AMETHYST PASTRY & CAKES,524A,JELAPANG ROAD,02-03/04,GREENRIDGE SHOPPING CENTRE,671524,103.7662605,1.385208,524A JELAPANG ROAD 02-03/04 GREENRIDGE SHOPPING CENTRE
49,Amigo's Food Pte Ltd,131,MARSILING RISE,01-206,,730131,103.778613,1.438479,131 MARSILING RISE 01-206 
50,Amigo's Food Pte Ltd,444,PASIR RIS DRIVE 6,01-102,,510444,103.957488,1.369998,444 PASIR RIS DRIVE 6 01-102 
51,Amigo's Food Pte Ltd,878C,TAMPINES AVENUE 8,01-66,,523878,103.929363,1.35126,878C TAMPINES AVENUE 8 01-66 
52,Amigo's Food Pte Ltd,573,WOODLAND DRIVE 16,01-01,,730573,103.7985075,1.431099,573 WOODLAND DRIVE 16 01-01 
53,Amigo's Food Pte Ltd,5,UPPER BOON KENG ROAD,01-22,MULTI STOREY CAR PARK,380005,103.861377,1.3172760000000001,5 UPPER BOON KENG ROAD 01-22 MULTI STOREY CAR PARK
54,ANDES,328,Joo Chiat Road,01-01,Joo Chiat Apartments,427585,103.905477,1.305783,328 Joo Chiat Road 01-01 Joo Chiat Apartments
55,ANDES,5,CHANGI VILLAGE ROAD,01-2001,,500005,103.986828,1.388844,5 CHANGI VILLAGE ROAD 01-2001 
56,ANDES,10,Airport Boulevard,02-202,Changi Airport Terminal 4,819665,103.982724,1.339038,10 Airport Boulevard 02-202 Changi Airport Terminal 4
57,ANDES,750,Chai Chee Road,01-30,Technopark @ Chai Chee,469000,103.922109,1.323666,750 Chai Chee Road 01-30 Technopark @ Chai Chee
58,A-Po Hokkien Mee (MR1) @ The Food Market Century Square,2,TAMPINES CENTRAL 5,03-19,CENTURY SQUARE,529509,103.9437855,1.352358,2 TAMPINES CENTRAL 5 03-19 CENTURY SQUARE
